Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,8,0,0,0,0
8,1,1,0,,,,9,0,0,0,0
8,2,1,0,,,,15,0,0,0,0
8,3,1,0,,,,20,0,0,0,0
8,4,1,0,,,,12,0,0,0,0
8,5,1,0,,,,16,0,0,0,0
8,6,1,0,,,,23,0,0,0,0
8,7,1,0,,,,32,0,0,0,0
8,8,1,0,,,,63,0,0,0,0
8,9,1,0,,,,45,0,0,0,0
8,10,1,0,,,,50,0,0,0,0
8,11,1,0,,,,47,0,0,0,0
8,12,1,0,,,,33,0,0,0,0
8,13,1,0,,,,32,0,0,0,0
8,14,1,0,,,,40,0,0,0,0
8,15,1,0,,,,32.04,0,0,0,0
8,16,1,0,,,,35,0,0,0,0
8,17,1,0,,,,18,0,0,0,0
8,18,1,0,,,,9,0,0,0,0
8,19,1,0,,,,7.4,0,0,0,0
8,20,1,0,,,,11.72,0,0,0,0
8,21,1,0,,,,17,0,0,0,0
8,22,1,0,,,,19,0,0,0,0
8,23,1,0,,,,8,0,0,0,0
8,24,1,0,,,,6,0,0,0,0
8,1,2,0,,,,11,0,0,0,0
8,2,2,0,,,,7,0,0,0,0
8,3,2,0,,,,8.52,0,0,0,0
8,4,2,0,,,,13,0,0,0,0
8,5,2,0,,,,15,0,0,0,0
8,6,2,0,,,,16,0,0,0,0
8,7,2,0,,,,29,0,0,0,0
8,8,2,0,,,,65.96,0,0,0,0
8,9,2,0,,,,51,0,0,0,0
8,10,2,0,,,,48,0,0,0,0
8,11,2,0,,,,48,0,0,0,0
8,12,2,0,,,,34,0,0,0,0
8,13,2,0,,,,38,0,0,0,0
8,14,2,0,,,,39,0,0,0,0
8,15,2,0,,,,40,0,0,0,0
8,16,2,0,,,,43,0,0,0,0
8,17,2,0,,,,16,0,0,0,0
8,18,2,0,,,,9,0,0,0,0
8,19,2,0,,,,9.96,0,0,0,0
8,20,2,0,,,,7,0,0,0,0
8,21,2,0,,,,12.08,0,0,0,0
8,22,2,0,,,,7.96,0,0,0,0
8,23,2,0,,,,6,0,0,0,0
8,24,2,0,,,,8,0,0,0,0
8,1,3,0,,,,8,0,0,0,0
8,2,3,0,,,,7,0,0,0,0
8,3,3,0,,,,10,0,0,0,0
8,4,3,0,,,,11,0,0,0,0
8,5,3,0,,,,11.48,0,0,0,0
8,6,3,0,,,,19,0,0,0,0
8,7,3,0,,,,29,0,0,0,0
8,8,3,0,,,,57.48,0,0,0,0
8,9,3,0,,,,43,0,0,0,0
