Electricity Pricing [$],6h Prediction Electricity Pricing [$],12h Prediction Electricity Pricing [$],24h Prediction Electricity Pricing [$]
1.94,0.59,0.38,0.19
2.02,0.58,0.39,0.2
1.94,0.46,0.39,0.21
1.82,0.39,0.4,0.22
1.14,0.36,0.29,0.22
0.65,0.38,0.54,0.21
0.59,0.38,0.44,0.21
0.58,0.39,0.36,0.21
0.46,0.39,0.25,0.21
0.39,0.4,0.2,0.22
0.36,0.29,0.19,0.24
0.38,0.54,0.19,0.29
0.38,0.44,0.19,0.35
0.39,0.36,0.2,0.36
0.39,0.25,0.21,0.36
0.4,0.2,0.22,0.34
0.29,0.19,0.22,0.27
0.54,0.19,0.21,0.34
0.44,0.19,0.21,0.33
0.36,0.2,0.21,0.34
0.25,0.21,0.21,0.34
0.2,0.22,0.22,0.3
0.19,0.22,0.24,0.35
0.19,0.21,0.29,0.38
0.19,0.21,0.35,0.4
0.2,0.21,0.36,0.47
0.21,0.21,0.36,0.56
0.22,0.22,0.34,0.58
0.22,0.24,0.27,0.58
0.21,0.29,0.34,0.58
0.21,0.35,0.33,0.53
0.21,0.36,0.34,0.5
0.21,0.36,0.34,0.47
0.22,0.34,0.3,0.47
0.24,0.27,0.35,0.57
0.29,0.34,0.38,0.66
0.35,0.33,0.4,0.75
0.36,0.34,0.47,0.68
0.36,0.34,0.56,0.62
0.34,0.3,0.58,0.55
0.27,0.35,0.58,0.45
0.34,0.38,0.58,0.48
0.33,0.4,0.53,0.47
0.34,0.47,0.5,0.45
0.34,0.56,0.47,0.44
0.3,0.58,0.47,0.41
0.35,0.58,0.57,0.56
0.38,0.58,0.66,0.68
0.4,0.53,0.75,0.64
0.47,0.5,0.68,0.81
0.56,0.47,0.62,0.85
0.58,0.47,0.55,0.74
0.58,0.57,0.45,0.68
0.58,0.66,0.48,0.62
0.53,0.75,0.47,0.57
0.5,0.68,0.45,0.55
0.47,0.62,0.44,0.47
0.47,0.55,0.41,0.47
0.57,0.45,0.56,0.66
0.66,0.48,0.68,0.68
0.75,0.47,0.64,0.72
0.68,0.45,0.81,0.7
0.62,0.44,0.85,0.61
0.55,0.41,0.74,0.54
0.45,0.56,0.68,0.47
0.48,0.68,0.62,0.26
0.47,0.64,0.57,0.27
0.45,0.81,0.55,0.27
0.44,0.85,0.47,0.26
0.41,0.74,0.47,0.26
0.56,0.68,0.66,0.3
0.68,0.62,0.68,0.38
0.64,0.57,0.72,0.38
0.81,0.55,0.7,0.39
0.85,0.47,0.61,0.38
0.74,0.47,0.54,0.34
0.68,0.66,0.47,0.3
0.62,0.68,0.26,0.29
0.57,0.72,0.27,0.28
0.55,0.7,0.27,0.26
0.47,0.61,0.26,0.28
0.47,0.54,0.26,0.28
0.66,0.47,0.3,0.27
0.68,0.26,0.38,0.28
0.72,0.27,0.38,0.29
0.7,0.27,0.39,0.31
0.61,0.26,0.38,0.3
0.54,0.26,0.34,0.3
0.47,0.3,0.3,0.27
0.26,0.38,0.29,0.25
0.27,0.38,0.28,0.23
0.27,0.39,0.26,0.23
0.26,0.38,0.28,0.23
0.26,0.34,0.28,0.24
0.3,0.3,0.27,0.23
0.38,0.29,0.28,0.22
0.38,0.28,0.29,0.26
0.39,0.26,0.31,0.28
0.38,0.28,0.3,0.3
0.34,0.28,0.3,0.3
0.3,0.27,0.27,0.28
0.29,0.28,0.25,0.27
0.28,0.29,0.23,0.28
0.26,0.31,0.23,0.31
0.28,0.3,0.23,0.33
0.28,0.3,0.24,0.38
0.27,0.27,0.23,0.43
0.28,0.25,0.22,0.46
0.29,0.23,0.26,0.48
0.31,0.23,0.28,0.48
0.3,0.23,0.3,0.49
0.3,0.24,0.3,0.5
0.27,0.23,0.28,0.5
0.25,0.22,0.27,0.59
0.23,0.26,0.28,0.58
0.23,0.28,0.31,0.57
0.23,0.3,0.33,0.59
0.24,0.3,0.38,0.56
0.23,0.28,0.43,0.53
0.22,0.27,0.46,0.53
0.26,0.28,0.48,0.8
0.28,0.31,0.48,1.38
0.3,0.33,0.49,0.91
0.3,0.38,0.5,0.76
0.28,0.43,0.5,0.67
0.27,0.46,0.59,0.65
0.28,0.48,0.58,0.57
0.31,0.48,0.57,0.57
0.33,0.49,0.59,0.53
0.38,0.5,0.56,0.52
0.43,0.5,0.53,0.52
0.46,0.59,0.53,0.53
0.48,0.58,0.8,0.7
0.48,0.57,1.38,0.57
0.49,0.59,0.91,0.52
0.5,0.56,0.76,0.43
0.5,0.53,0.67,0.26
0.59,0.53,0.65,0.15
0.58,0.8,0.57,0.15
0.57,1.38,0.57,0.15
0.59,0.91,0.53,0.15
0.56,0.76,0.52,0.15
0.53,0.67,0.52,0.19
0.53,0.65,0.53,0.24
0.8,0.57,0.7,0.24
1.38,0.57,0.57,0.27
0.91,0.53,0.52,0.27
0.76,0.52,0.43,0.25
0.67,0.52,0.26,0.21
0.65,0.53,0.15,0.2
0.57,0.7,0.15,0.2
0.57,0.57,0.15,0.19
0.53,0.52,0.15,0.18
0.52,0.43,0.15,0.19
0.52,0.26,0.19,0.2
0.53,0.15,0.24,0.25
0.7,0.15,0.24,0.26
0.57,0.15,0.27,0.25
0.52,0.15,0.27,0.24
0.43,0.15,0.25,0.22
0.26,0.19,0.21,0.2
0.15,0.24,0.2,0.2
0.15,0.24,0.2,0.19
0.15,0.27,0.19,0.19
0.15,0.27,0.18,0.2
0.15,0.25,0.19,0.2
0.19,0.21,0.2,0.21
0.24,0.2,0.25,0.23
0.24,0.2,0.26,0.25
0.27,0.19,0.25,0.32
0.27,0.18,0.24,0.34
0.25,0.19,0.22,0.24
0.21,0.2,0.2,0.21
0.2,0.25,0.2,0.21
0.2,0.26,0.19,0.21
0.19,0.25,0.19,0.2
0.18,0.24,0.2,0.2
0.19,0.22,0.2,0.18
0.2,0.2,0.21,0.21
0.25,0.2,0.23,0.32
0.26,0.19,0.25,0.32
0.25,0.19,0.32,0.32
0.24,0.2,0.34,0.3
0.22,0.2,0.24,0.26
0.2,0.21,0.21,0.22
0.2,0.23,0.21,0.24
0.19,0.25,0.21,0.23
0.19,0.32,0.2,0.23
0.2,0.34,0.2,0.22
0.2,0.24,0.18,0.21
0.21,0.21,0.21,0.2
0.23,0.21,0.32,0.2
0.25,0.21,0.32,0.16
0.32,0.2,0.32,0.14
0.34,0.2,0.3,0.14
0.24,0.18,0.26,0.12
0.21,0.21,0.22,0.12
0.21,0.32,0.24,0.08
0.21,0.32,0.23,0.08
0.2,0.32,0.23,0.06
0.2,0.3,0.22,0.06
0.18,0.26,0.21,0.08
0.21,0.22,0.2,0.13
0.32,0.24,0.2,0.14
0.32,0.23,0.16,0.14
0.32,0.23,0.14,0.15
0.3,0.22,0.14,0.15
0.26,0.21,0.12,0.14
0.22,0.2,0.12,0.12
0.24,0.2,0.08,0.14
0.23,0.16,0.08,0.13
0.23,0.14,0.06,0.13
0.22,0.14,0.06,0.13
0.21,0.12,0.08,0.14
0.2,0.12,0.13,0.14
0.2,0.08,0.14,0.22
0.16,0.08,0.14,0.23
0.14,0.06,0.15,0.24
0.14,0.06,0.15,0.26
0.12,0.08,0.14,0.26
0.12,0.13,0.12,0.26
0.08,0.14,0.14,0.26
0.08,0.14,0.13,0.26
0.06,0.15,0.13,0.27
0.06,0.15,0.13,0.26
0.08,0.14,0.14,0.27
0.13,0.12,0.14,0.27
0.14,0.14,0.22,0.31
0.14,0.13,0.23,0.32
0.15,0.13,0.24,0.36
0.15,0.13,0.26,0.32
0.14,0.14,0.26,0.31
0.12,0.14,0.26,0.28
0.14,0.22,0.26,0.33
0.13,0.23,0.26,0.33
0.13,0.24,0.27,0.33
0.13,0.26,0.26,0.33
0.14,0.26,0.27,0.37
0.14,0.26,0.27,0.4
0.22,0.26,0.31,0.4
0.23,0.26,0.32,0.45
0.24,0.27,0.36,0.56
0.26,0.26,0.32,0.68
0.26,0.27,0.31,0.95
0.26,0.27,0.28,0.95
0.26,0.31,0.33,0.93
0.26,0.32,0.33,0.77
0.27,0.36,0.33,0.8
0.26,0.32,0.33,0.73
0.27,0.31,0.37,0.73
0.27,0.28,0.4,1.71
0.31,0.33,0.4,1.76
0.32,0.33,0.45,1.78
0.36,0.33,0.56,1.77
0.32,0.33,0.68,1.74
0.31,0.37,0.95,1.65
0.28,0.4,0.95,1.05
0.33,0.4,0.93,0.73
0.33,0.45,0.77,0.73
0.33,0.56,0.8,0.73
0.33,0.68,0.73,0.74
0.37,0.95,0.73,0.75
0.4,0.95,1.71,0.86
0.4,0.93,1.76,1.75
0.45,0.77,1.78,1.8
0.56,0.8,1.77,1.83
0.68,0.73,1.74,1.8
0.95,0.73,1.65,1.13
0.95,1.71,1.05,1.02
0.93,1.76,0.73,0.92
0.77,1.78,0.73,0.78
0.8,1.77,0.73,0.7
0.73,1.74,0.74,0.66
0.73,1.65,0.75,0.73
1.71,1.05,0.86,0.76
1.76,0.73,1.75,0.83
1.78,0.73,1.8,1.05
1.77,0.73,1.83,0.84
1.74,0.74,1.8,0.69
1.65,0.75,1.13,0.61
1.05,0.86,1.02,0.53
0.73,1.75,0.92,0.45
0.73,1.8,0.78,0.43
0.73,1.83,0.7,0.43
0.74,1.8,0.66,0.44
0.75,1.13,0.73,0.47
0.86,1.02,0.76,0.69
1.75,0.92,0.83,0.58
1.8,0.78,1.05,0.63
1.83,0.7,0.84,1.02
1.8,0.66,0.69,1.13
1.13,0.73,0.61,1.34
1.02,0.76,0.53,1.05
0.92,0.83,0.45,1.03
0.78,1.05,0.43,1.02
0.7,0.84,0.43,0.81
0.66,0.69,0.44,0.73
0.73,0.61,0.47,0.74
0.76,0.53,0.69,0.72
0.83,0.45,0.58,0.75
1.05,0.43,0.63,0.81
0.84,0.43,1.02,0.73
0.69,0.44,1.13,0.61
0.61,0.47,1.34,0.55
0.53,0.69,1.05,0.43
0.45,0.58,1.03,0.48
0.43,0.63,1.02,0.44
0.43,1.02,0.81,0.43
0.44,1.13,0.73,0.43
0.47,1.34,0.74,0.48
0.69,1.05,0.72,0.53
0.58,1.03,0.75,0.66
0.63,1.02,0.81,0.62
1.02,0.81,0.73,0.66
1.13,0.73,0.61,0.67
1.34,0.74,0.55,0.66
1.05,0.72,0.43,0.64
1.03,0.75,0.48,0.62
1.02,0.81,0.44,0.6
0.81,0.73,0.43,0.49
0.73,0.61,0.43,0.51
0.74,0.55,0.48,0.59
0.72,0.43,0.53,0.61
0.75,0.48,0.66,0.62
0.81,0.44,0.62,0.57
0.73,0.43,0.66,0.47
0.61,0.43,0.67,0.45
0.55,0.48,0.66,0.43
0.43,0.53,0.64,0.42
0.48,0.66,0.62,0.42
0.44,0.62,0.6,0.41
0.43,0.66,0.49,0.4
0.43,0.67,0.51,0.4
0.48,0.66,0.59,0.41
0.53,0.64,0.61,0.41
0.66,0.62,0.62,0.42
0.62,0.6,0.57,0.42
0.66,0.49,0.47,0.42
0.67,0.51,0.45,0.42
0.66,0.59,0.43,0.43
0.64,0.61,0.42,0.42
0.62,0.62,0.42,0.42
0.6,0.57,0.41,0.42
0.49,0.47,0.4,0.33
0.51,0.45,0.4,0.39
0.59,0.43,0.41,0.44
0.61,0.42,0.41,0.46
0.62,0.42,0.42,0.55
0.57,0.41,0.42,0.56
0.47,0.4,0.42,0.52
0.45,0.4,0.42,0.49
0.43,0.41,0.43,0.46
0.42,0.41,0.42,0.39
0.42,0.42,0.42,0.35
0.41,0.42,0.42,0.33
0.4,0.42,0.33,0.34
0.4,0.42,0.39,0.36
0.41,0.43,0.44,0.4
0.41,0.42,0.46,0.42
0.42,0.42,0.55,0.43
0.42,0.42,0.56,0.49
0.42,0.33,0.52,0.48
0.42,0.39,0.49,0.58
0.43,0.44,0.46,0.58
0.42,0.46,0.39,0.39
0.42,0.55,0.35,0.23
0.42,0.56,0.33,0.19
0.33,0.52,0.34,0.18
0.39,0.49,0.36,0.27
0.44,0.46,0.4,0.29
0.46,0.39,0.42,0.58
0.55,0.35,0.43,0.66
0.56,0.33,0.49,0.67
0.52,0.34,0.48,0.7
0.49,0.36,0.58,0.69
0.46,0.4,0.58,0.66
0.39,0.42,0.39,0.6
0.35,0.43,0.23,0.6
0.33,0.49,0.19,0.52
0.34,0.48,0.18,0.51
0.36,0.58,0.27,0.51
0.4,0.58,0.29,0.49
0.42,0.39,0.58,0.57
0.43,0.23,0.66,0.58
0.49,0.19,0.67,0.62
0.48,0.18,0.7,0.62
0.58,0.27,0.69,0.63
0.58,0.29,0.66,0.63
0.39,0.58,0.6,0.61
0.23,0.66,0.6,0.58
0.19,0.67,0.52,0.47
0.18,0.7,0.51,0.43
0.27,0.69,0.51,0.43
0.29,0.66,0.49,0.43
0.58,0.6,0.57,0.42
0.66,0.6,0.58,0.42
0.67,0.52,0.62,0.42
0.7,0.51,0.62,0.42
0.69,0.51,0.63,0.42
0.66,0.49,0.63,0.41
0.6,0.57,0.61,0.41
0.6,0.58,0.58,0.78
0.52,0.62,0.47,0.76
0.51,0.62,0.43,0.76
0.51,0.63,0.43,0.78
0.49,0.63,0.43,0.8
0.57,0.61,0.42,0.88
0.58,0.58,0.42,1.15
0.62,0.47,0.42,1.95
0.62,0.43,0.42,2.73
0.63,0.43,0.42,2.36
0.63,0.43,0.41,1.91
0.61,0.42,0.41,0.93
0.58,0.42,0.78,0.79
0.47,0.42,0.76,0.67
0.43,0.42,0.76,0.64
0.43,0.42,0.78,0.72
0.43,0.41,0.8,0.75
0.42,0.41,0.88,0.81
0.42,0.78,1.15,0.87
0.42,0.76,1.95,0.85
0.42,0.76,2.73,0.9
0.42,0.78,2.36,0.84
0.41,0.8,1.91,0.8
0.41,0.88,0.93,0.71
0.78,1.15,0.79,0.65
0.76,1.95,0.67,0.63
0.76,2.73,0.64,0.63
0.78,2.36,0.72,0.64
0.8,1.91,0.75,0.65
0.88,0.93,0.81,0.68
1.15,0.79,0.87,0.8
1.95,0.67,0.85,1.05
2.73,0.64,0.9,1.05
2.36,0.72,0.84,0.93
1.91,0.75,0.8,0.84
0.93,0.81,0.71,0.76
0.79,0.87,0.65,0.69
0.67,0.85,0.63,0.66
0.64,0.9,0.63,0.66
0.72,0.84,0.64,0.66
0.75,0.8,0.65,0.66
0.81,0.71,0.68,0.68
0.87,0.65,0.8,0.67
0.85,0.63,1.05,0.67
0.9,0.63,1.05,0.67
0.84,0.64,0.93,0.66
0.8,0.65,0.84,0.57
0.71,0.68,0.76,0.52
0.65,0.8,0.69,0.32
0.63,1.05,0.66,0.29
0.63,1.05,0.66,0.3
0.64,0.93,0.66,0.33
0.65,0.84,0.66,0.35
0.68,0.76,0.68,0.43
0.8,0.69,0.67,0.62
1.05,0.66,0.67,0.66
1.05,0.66,0.67,0.67
0.93,0.66,0.66,0.65
0.84,0.66,0.57,0.63
0.76,0.68,0.52,0.54
0.69,0.67,0.32,0.47
0.66,0.67,0.29,0.41
0.66,0.67,0.3,0.36
0.66,0.66,0.33,0.38
0.66,0.57,0.35,0.38
0.68,0.52,0.43,0.38
0.67,0.32,0.62,0.35
0.67,0.29,0.66,0.33
0.67,0.3,0.67,0.35
0.66,0.33,0.65,0.36
0.57,0.35,0.63,0.25
0.52,0.43,0.54,0.18
0.32,0.62,0.47,0.15
0.29,0.66,0.41,0.16
0.3,0.67,0.36,0.16
0.33,0.65,0.38,0.16
0.35,0.63,0.38,0.19
0.43,0.54,0.38,0.27
0.62,0.47,0.35,0.38
0.66,0.41,0.33,0.44
0.67,0.36,0.35,0.44
0.65,0.38,0.36,0.43
0.63,0.38,0.25,0.42
0.54,0.38,0.18,0.41
0.47,0.35,0.15,0.41
0.41,0.33,0.16,0.38
0.36,0.35,0.16,0.29
0.38,0.36,0.16,0.29
0.38,0.25,0.19,0.3
0.38,0.18,0.27,0.32
0.35,0.15,0.38,0.33
0.33,0.16,0.44,0.34
0.35,0.16,0.44,0.3
0.36,0.16,0.43,0.3
0.25,0.19,0.42,0.25
0.18,0.27,0.41,0.23
0.15,0.38,0.41,0.18
0.16,0.44,0.38,0.21
0.16,0.44,0.29,0.21
0.16,0.43,0.29,0.23
0.19,0.42,0.3,0.22
0.27,0.41,0.32,0.24
0.38,0.41,0.33,0.23
0.44,0.38,0.34,0.28
0.44,0.29,0.3,0.36
0.43,0.29,0.3,0.36
0.42,0.3,0.25,0.36
0.41,0.32,0.23,0.2
0.41,0.33,0.18,0.13
0.38,0.34,0.21,0.13
0.29,0.3,0.21,0.13
0.29,0.3,0.23,0.13
0.3,0.25,0.22,0.21
0.32,0.23,0.24,0.37
0.33,0.18,0.23,0.36
0.34,0.21,0.28,0.37
0.3,0.21,0.36,0.36
0.3,0.23,0.36,0.34
0.25,0.22,0.36,0.3
0.23,0.24,0.2,0.25
0.18,0.23,0.13,0.3
0.21,0.28,0.13,0.31
0.21,0.36,0.13,0.32
0.23,0.36,0.13,0.33
0.22,0.36,0.21,0.31
0.24,0.2,0.37,0.32
0.23,0.13,0.36,0.34
0.28,0.13,0.37,0.35
0.36,0.13,0.36,0.37
0.36,0.13,0.34,0.38
0.36,0.21,0.3,0.38
0.2,0.37,0.25,0.38
0.13,0.36,0.3,0.39
0.13,0.37,0.31,0.34
0.13,0.36,0.32,0.33
0.13,0.34,0.33,0.39
0.21,0.3,0.31,0.39
0.37,0.25,0.32,0.39
0.36,0.3,0.34,0.39
0.37,0.31,0.35,0.4
0.36,0.32,0.37,0.41
0.34,0.33,0.38,0.41
0.3,0.31,0.38,0.42
0.25,0.32,0.38,0.4
0.3,0.34,0.39,0.4
0.31,0.35,0.34,0.4
0.32,0.37,0.33,0.41
0.33,0.38,0.39,0.43
0.31,0.38,0.39,0.42
0.32,0.38,0.39,0.43
0.34,0.39,0.39,0.39
0.35,0.34,0.4,0.55
0.37,0.33,0.41,0.67
0.38,0.39,0.41,0.58
0.38,0.39,0.42,0.53
0.38,0.39,0.4,0.43
0.39,0.39,0.4,0.42
0.34,0.4,0.4,0.39
0.33,0.41,0.41,0.37
0.39,0.41,0.43,0.35
0.39,0.42,0.42,0.31
0.39,0.4,0.43,0.29
0.39,0.4,0.39,0.25
0.4,0.4,0.55,0.25
0.41,0.41,0.67,0.24
0.41,0.43,0.58,0.23
0.42,0.42,0.53,0.2
0.4,0.43,0.43,0.14
0.4,0.39,0.42,0.1
0.4,0.55,0.39,0.1
0.41,0.67,0.37,0.1
0.43,0.58,0.35,0.1
0.42,0.53,0.31,0.11
0.43,0.43,0.29,0.13
0.39,0.42,0.25,0.2
0.55,0.39,0.25,0.25
0.67,0.37,0.24,0.3
0.58,0.35,0.23,0.31
0.53,0.31,0.2,0.33
0.43,0.29,0.14,0.32
0.42,0.25,0.1,0.27
0.39,0.25,0.1,0.25
0.37,0.24,0.1,0.25
0.35,0.23,0.1,0.23
0.31,0.2,0.11,0.22
0.29,0.14,0.13,0.22
0.25,0.1,0.2,0.24
0.25,0.1,0.25,0.27
0.24,0.1,0.3,0.33
0.23,0.1,0.31,0.35
0.2,0.11,0.33,0.36
0.14,0.13,0.32,0.35
0.1,0.2,0.27,0.25
0.1,0.25,0.25,0.28
0.1,0.3,0.25,0.31
0.1,0.31,0.23,0.35
0.11,0.33,0.22,0.39
0.13,0.32,0.22,0.4
0.2,0.27,0.24,0.41
0.25,0.25,0.27,0.5
0.3,0.25,0.33,0.59
0.31,0.23,0.35,0.59
0.33,0.22,0.36,0.49
0.32,0.22,0.35,0.44
0.27,0.24,0.25,0.41
0.25,0.27,0.28,0.4
0.25,0.33,0.31,0.4
0.23,0.35,0.35,0.38
0.22,0.36,0.39,0.37
0.22,0.35,0.4,0.36
0.24,0.25,0.41,0.34
0.27,0.28,0.5,0.33
0.33,0.31,0.59,0.28
0.35,0.35,0.59,0.25
0.36,0.39,0.49,0.2
0.35,0.4,0.44,0.14
0.25,0.41,0.41,0.13
0.28,0.5,0.4,0.13
0.31,0.59,0.4,0.13
0.35,0.59,0.38,0.13
0.39,0.49,0.37,0.13
0.4,0.44,0.36,0.14
0.41,0.41,0.34,0.2
0.5,0.4,0.33,0.24
0.59,0.4,0.28,0.27
0.59,0.38,0.25,0.24
0.49,0.37,0.2,0.21
0.44,0.36,0.14,0.15
0.41,0.34,0.13,0.13
0.4,0.33,0.13,0.13
0.4,0.28,0.13,0.13
0.38,0.25,0.13,0.13
0.37,0.2,0.13,0.13
0.36,0.14,0.14,0.13
0.34,0.13,0.2,0.14
0.33,0.13,0.24,0.19
0.28,0.13,0.27,0.22
0.25,0.13,0.24,0.21
0.2,0.13,0.21,0.21
0.14,0.14,0.15,0.2
0.13,0.2,0.13,0.23
0.13,0.24,0.13,0.23
0.13,0.27,0.13,0.24
0.13,0.24,0.13,0.24
0.13,0.21,0.13,0.25
0.14,0.15,0.13,0.28
0.2,0.13,0.14,0.35
0.24,0.13,0.19,0.44
0.27,0.13,0.22,0.44
0.24,0.13,0.21,0.44
0.21,0.13,0.21,0.4
0.15,0.13,0.2,0.35
0.13,0.14,0.23,0.34
0.13,0.19,0.23,0.31
0.13,0.22,0.24,0.26
0.13,0.21,0.24,0.25
0.13,0.21,0.25,0.24
0.13,0.2,0.28,0.25
0.14,0.23,0.35,0.31
0.19,0.23,0.44,0.3
0.22,0.24,0.44,0.29
0.21,0.24,0.44,0.25
0.21,0.25,0.4,0.2
0.2,0.28,0.35,0.16
0.23,0.35,0.34,0.15
0.23,0.44,0.31,0.14
0.24,0.44,0.26,0.13
0.24,0.44,0.25,0.13
0.25,0.4,0.24,0.13
0.28,0.35,0.25,0.14
0.35,0.34,0.31,0.14
0.44,0.31,0.3,0.19
0.44,0.26,0.29,0.2
0.44,0.25,0.25,0.22
0.4,0.24,0.2,0.24
0.35,0.25,0.16,0.24
0.34,0.31,0.15,0.26
0.31,0.3,0.14,0.26
0.26,0.29,0.13,0.27
0.25,0.25,0.13,0.27
0.24,0.2,0.13,0.3
0.25,0.16,0.14,0.3
0.31,0.15,0.14,0.31
0.3,0.14,0.19,0.32
0.29,0.13,0.2,0.33
0.25,0.13,0.22,0.33
0.2,0.13,0.24,0.33
0.16,0.14,0.24,0.32
0.15,0.14,0.26,0.32
0.14,0.19,0.26,0.3
0.13,0.2,0.27,0.29
0.13,0.22,0.27,0.23
0.13,0.24,0.3,0.22
0.14,0.24,0.3,0.22
0.14,0.26,0.31,0.22
0.19,0.26,0.32,0.22
0.2,0.27,0.33,0.22
0.22,0.27,0.33,0.22
0.24,0.3,0.33,0.22
0.24,0.3,0.32,0.22
0.26,0.31,0.32,0.21
0.26,0.32,0.3,0.21
0.27,0.33,0.29,0.21
0.27,0.33,0.23,0.2
0.3,0.33,0.22,0.18
0.3,0.32,0.22,0.16
0.31,0.32,0.22,0.14
0.32,0.3,0.22,0.13
0.33,0.29,0.22,0.13
0.33,0.23,0.22,0.13
0.33,0.22,0.22,0.13
0.32,0.22,0.22,0.13
0.32,0.22,0.21,0.13
0.3,0.22,0.21,0.13
0.29,0.22,0.21,0.13
0.23,0.22,0.2,0.13
0.22,0.22,0.18,0.12
0.22,0.22,0.16,0.13
0.22,0.21,0.14,0.13
0.22,0.21,0.13,0.14
0.22,0.21,0.13,0.15
0.22,0.2,0.13,0.14
0.22,0.18,0.13,0.14
0.22,0.16,0.13,0.14
0.21,0.14,0.13,0.13
0.21,0.13,0.13,0.13
0.21,0.13,0.13,0.1
0.2,0.13,0.13,0.1
0.18,0.13,0.12,0.1
0.16,0.13,0.13,0.12
0.14,0.13,0.13,0.11
0.13,0.13,0.14,0.12
0.13,0.13,0.15,0.13
0.13,0.13,0.14,0.13
0.13,0.12,0.14,0.13
0.13,0.13,0.14,0.1
0.13,0.13,0.13,0.09
0.13,0.14,0.13,0.08
0.13,0.15,0.1,0.08
0.13,0.14,0.1,0.09
0.12,0.14,0.1,0.11
0.13,0.14,0.12,0.14
0.13,0.13,0.11,0.13
0.14,0.13,0.12,0.14
0.15,0.1,0.13,0.15
0.14,0.1,0.13,0.15
0.14,0.1,0.13,0.16
0.14,0.12,0.1,0.16
0.13,0.11,0.09,0.16
0.13,0.12,0.08,0.16
0.1,0.13,0.08,0.17
0.1,0.13,0.09,0.17
0.1,0.13,0.11,0.16
0.12,0.1,0.14,0.17
0.11,0.09,0.13,0.19
0.12,0.08,0.14,0.22
0.13,0.08,0.15,0.28
0.13,0.09,0.15,0.29
0.13,0.11,0.16,0.28
0.1,0.14,0.16,0.28
0.09,0.13,0.16,0.29
0.08,0.14,0.16,0.3
0.08,0.15,0.17,0.3
0.09,0.15,0.17,0.3
0.11,0.16,0.16,0.3
0.14,0.16,0.17,0.3
0.13,0.16,0.19,0.3
0.14,0.16,0.22,0.3
0.15,0.17,0.28,0.3
0.15,0.17,0.29,0.3
0.16,0.16,0.28,0.29
0.16,0.17,0.28,0.28
0.16,0.19,0.29,0.28
0.16,0.22,0.3,0.28
0.17,0.28,0.3,0.28
0.17,0.29,0.3,0.28
0.16,0.28,0.3,0.26
0.17,0.28,0.3,0.24
0.19,0.29,0.3,0.22
0.22,0.3,0.3,0.2
0.28,0.3,0.3,0.21
0.29,0.3,0.3,0.18
0.28,0.3,0.29,0.17
0.28,0.3,0.28,0.16
0.29,0.3,0.28,0.15
0.3,0.3,0.28,0.13
0.3,0.3,0.28,0.13
0.3,0.3,0.28,0.13
0.3,0.29,0.26,0.13
0.3,0.28,0.24,0.12
0.3,0.28,0.22,0.12
0.3,0.28,0.2,0.13
0.3,0.28,0.21,0.14
0.3,0.28,0.18,0.14
0.29,0.26,0.17,0.13
0.28,0.24,0.16,0.13
0.28,0.22,0.15,0.12
0.28,0.2,0.13,0.12
0.28,0.21,0.13,0.12
0.28,0.18,0.13,0.12
0.26,0.17,0.13,0.12
0.24,0.16,0.12,0.12
0.22,0.15,0.12,0.12
0.2,0.13,0.13,0.13
0.21,0.13,0.14,0.13
0.18,0.13,0.14,0.15
0.17,0.13,0.13,0.18
0.16,0.12,0.13,0.15
0.15,0.12,0.12,0.13
0.13,0.13,0.12,0.12
0.13,0.14,0.12,0.12
0.13,0.14,0.12,0.12
0.13,0.13,0.12,0.12
0.12,0.13,0.12,0.12
0.12,0.12,0.12,0.12
0.13,0.12,0.13,0.13
0.14,0.12,0.13,0.15
0.14,0.12,0.15,0.15
0.13,0.12,0.18,0.14
0.13,0.12,0.15,0.13
0.12,0.12,0.13,0.12
0.12,0.13,0.12,0.12
0.12,0.13,0.12,0.12
0.12,0.15,0.12,0.12
0.12,0.18,0.12,0.09
0.12,0.15,0.12,0.09
0.12,0.13,0.12,0.1
0.13,0.12,0.13,0.1
0.13,0.12,0.15,0.07
0.15,0.12,0.15,0.06
0.18,0.12,0.14,0.04
0.15,0.12,0.13,0.04
0.13,0.12,0.12,0.04
0.12,0.13,0.12,0.03
0.12,0.15,0.12,0.02
0.12,0.15,0.12,0.02
0.12,0.14,0.09,0.02
0.12,0.13,0.09,0.02
0.12,0.12,0.1,0.03
0.13,0.12,0.1,0.05
0.15,0.12,0.07,0.06
0.15,0.12,0.06,0.07
0.14,0.09,0.04,0.07
0.13,0.09,0.04,0.06
0.12,0.1,0.04,0.06
0.12,0.1,0.03,0.06
0.12,0.07,0.02,0.06
0.12,0.06,0.02,0.06
0.09,0.04,0.02,0.06
0.09,0.04,0.02,0.06
0.1,0.04,0.03,0.06
0.1,0.03,0.05,0.06
0.07,0.02,0.06,0.07
0.06,0.02,0.07,0.07
0.04,0.02,0.07,0.07
0.04,0.02,0.06,0.07
0.04,0.03,0.06,0.08
0.03,0.05,0.06,0.08
0.02,0.06,0.06,0.1
0.02,0.07,0.06,0.12
0.02,0.07,0.06,0.12
0.02,0.06,0.06,0.12
0.03,0.06,0.06,0.12
0.05,0.06,0.06,0.12
0.06,0.06,0.07,0.14
0.07,0.06,0.07,0.14
0.07,0.06,0.07,0.15
0.06,0.06,0.07,0.15
0.06,0.06,0.08,0.15
0.06,0.06,0.08,0.15
